representation,preproc,metric,algorithm,k,ari,nmi,bal_acc
ring+whitehead+syll,z,cosine,complete,5,0.2352856575061681,0.23427268444142063,0.7675460566594312
ring+whitehead+syll,z,correlation,complete,5,0.2352856575061681,0.23427268444142063,0.7675460566594312
kmer2,z,correlation,ward,3,0.23526788049618746,0.1931828870376223,0.7669616519174041
all,z,cosine,ward,3,0.23504362645451365,0.19472611325527436,0.7638169978293539
all,z,correlation,ward,3,0.23504362645451365,0.19472611325527436,0.7638169978293539
ring+whitehead+syll,z+pca10,correlation,average,4,0.23385005296554726,0.24080428997392653,0.7797628986475205
ring+whitehead+syll,z,cosine,complete,3,0.23312833132930363,0.25478447218217126,0.7836032726665554
ring+whitehead+syll,z,correlation,complete,3,0.23312833132930363,0.25478447218217126,0.7836032726665554
ring+whitehead+syll,z,correlation,complete,4,0.2330517233111543,0.26171033259675625,0.7836032726665554
ring_dual,z-length,euclidean,spectral,3,0.23296306334287062,0.1904334775843069,0.770802025936439
whitehead,z,correlation,complete,2,0.23252581410018916,0.2094557691368741,0.7593922190682918
knots+ring,z+pca10,euclidean,average,2,0.23252581410018916,0.2094557691368741,0.7593922190682918
ring_autocorr,z,cosine,ward,2,0.23252581410018916,0.2094557691368741,0.7593922190682918
ring_autocorr,z,correlation,ward,2,0.23252581410018916,0.2094557691368741,0.7593922190682918
ring_dual,z+pca10,euclidean,average,2,0.23252581410018916,0.2094557691368741,0.7593922190682918
ring_autocorr,z-length,cosine,average,5,0.23206323869035078,0.23902872855164475,0.7635943674514387
all,z+pca10,correlation,average,3,0.23167096131928633,0.1821796193709973,0.7638169978293539
kmer3,z,cosine,complete,3,0.23155500389520706,0.19168168079973916,0.7638169978293539
kmer3,z,correlation,complete,3,0.23155500389520706,0.19168168079973916,0.7638169978293539
kmer23,z,cosine,complete,3,0.23155500389520706,0.19168168079973916,0.7638169978293539
kmer23,z,correlation,complete,3,0.23155500389520706,0.19168168079973916,0.7638169978293539
kmer3,z,cosine,ward,3,0.23140172074675366,0.18568317433053605,0.7612567484833306
kmer3,z,correlation,ward,3,0.23140172074675366,0.18568317433053605,0.7612567484833306
ring_dual_permsym,z,euclidean,average,4,0.23101596683892903,0.23595278627419056,0.7195970390159737
ring_dual_permsym,z,euclidean,complete,4,0.23101596683892903,0.23595278627419064,0.7195970390159737
ring_dual_permsym,z+pca10,euclidean,average,4,0.23101596683892903,0.23595278627419056,0.7195970390159737
all,z,cosine,complete,4,0.2307921285814114,0.21561233516840048,0.7797628986475205
ring_autocorr,z,cosine,average,4,0.2301386814643946,0.21280657515800136,0.765570212055435
whitehead,z,cosine,complete,5,0.229925258811842,0.21671048120020708,0.7417209328212835
whitehead,z+pca10,cosine,complete,5,0.229925258811842,0.21671048120020708,0.7417209328212835
all,z,cosine,complete,3,0.22977421436406537,0.24812097167175098,0.7797628986475205
whitehead,z,euclidean,complete,3,0.2297415188075605,0.18325308683225888,0.7195970390159737
whitehead,z+pca10,euclidean,complete,3,0.2297415188075605,0.18325308683225888,0.7195970390159737
ring_dual_permsym,z,euclidean,complete,3,0.2297415188075605,0.18325308683225894,0.7195970390159737
whitehead,z,cosine,spectral,3,0.22965227373858157,0.20896642651094932,0.765208437691323
whitehead,z+pca10,cosine,spectral,3,0.22965227373858157,0.20896642651094932,0.765208437691323
whitehead,z,cosine,complete,4,0.22898178670986347,0.23041473754769828,0.7417209328212835
whitehead,z+pca10,cosine,complete,4,0.22898178670986347,0.23041473754769828,0.7417209328212835
ring+whitehead+syll,z+pca10,euclidean,spectral,4,0.22851477368694648,0.2116739553278426,0.7580007792063227
ring+whitehead+syll,z,euclidean,spectral,4,0.22831801428410567,0.2151682583244911,0.7170367896699505
whitehead,z,correlation,complete,3,0.22815545619455696,0.18389371648861055,0.7593922190682918
ring_dual_sym,z,correlation,complete,4,0.22809927139843447,0.20387949005755562,0.7088829520788111
ring_dual,z-length,cosine,average,3,0.2278474913323677,0.18577005133949137,0.7568319697222685
ring_dual,z-length,correlation,average,3,0.2278474913323677,0.18577005133949137,0.7568319697222685
all,z,euclidean,ward,3,0.2260697963099779,0.17863553981579017,0.7638169978293539
ring_dual_sym,z,correlation,average,3,0.22573341124578944,0.2319129583420094,0.688400957310625
ring_dual_sym,z,correlation,complete,3,0.22573341124578944,0.23191295834200926,0.688400957310625
ring+whitehead+syll,z,euclidean,average,6,0.22554884410896942,0.2807089720328868,0.7079646017699115
ring_dual,z+pca10,correlation,complete,2,0.225446050214693,0.20098326850816742,0.75496744030723
whitehead,z,euclidean,ward,3,0.22540687704544557,0.19875167184190753,0.7720821506094506
whitehead,z+pca10,euclidean,ward,3,0.22540687704544557,0.19875167184190753,0.7720821506094506
ring_dual_permsym,z+pca10,correlation,ward,2,0.2250462165217894,0.16134016792584324,0.7306450715200089
ring_autocorr,z,cosine,ward,3,0.22484107052538485,0.17503546559067934,0.7593922190682918
ring_autocorr,z,correlation,ward,3,0.22484107052538485,0.17503546559067934,0.7593922190682918
kmer23,z+pca10,cosine,average,3,0.22482435914112783,0.1856620445115405,0.7606723437413034
ring_dual,z-length,cosine,ward,3,0.22464466624258345,0.17163312901249467,0.7568319697222685
ring_dual,z-length,correlation,ward,3,0.22464466624258345,0.17163312901249467,0.7568319697222685
ring+whitehead+syll,z,correlation,ward,3,0.22464466624258345,0.17163312901249467,0.7568319697222685
ring_dual,z+pca10,correlation,complete,3,0.22450899164646154,0.20246287591254977,0.75496744030723
ring_dual_permsym,z,euclidean,average,3,0.22443094638450042,0.28241200222550533,0.6991150442477876
ring_dual_permsym,z+pca10,euclidean,average,3,0.22443094638450042,0.28241200222550533,0.6991150442477876
ring_dual,z,correlation,complete,4,0.22417449928743394,0.19331550545830864,0.7753381198864585
knots,z,cosine,complete,2,0.22379354325215037,0.15864094591729727,0.7191239494629043
knots,z+pca10,cosine,complete,2,0.22379354325215037,0.15864094591729727,0.7191239494629043
ring_dual,z,correlation,complete,3,0.22303028479409887,0.2203500433883949,0.7753381198864585
ring_spectrum,z,euclidean,average,5,0.2225804011558686,0.20780289331956275,0.7195970390159737
ring_dual_permsym,z,euclidean,average,5,0.2225804011558686,0.20780289331956295,0.7195970390159737
ring_dual_permsym,z,euclidean,complete,5,0.2225804011558686,0.20780289331956292,0.7195970390159737
ring_dual_permsym,z+pca10,euclidean,average,5,0.2225804011558686,0.20780289331956295,0.7195970390159737
ring_dual_permsym,z+pca10,euclidean,complete,5,0.2225804011558686,0.20780289331956286,0.7195970390159737
knots+ring,z,cosine,complete,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,euclidean,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,cosine,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,cosine,average,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,cosine,complete,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,correlation,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,correlation,average,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_spectrum,z,correlation,complete,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,euclidean,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,cosine,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,cosine,average,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,cosine,single,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,correlation,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z,correlation,average,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z+pca10,euclidean,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z+pca10,euclidean,complete,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
ring_dual_permsym,z+pca10,cosine,ward,2,0.2223418046291024,0.1638707447411984,0.7101630767518228
