name,archival_initial_length,saved_rank2_length,previous_any_rank_length,best_any_rank_length,best_rank,new_gain,rank_reduction,solved,best_words,certificate_kind,witness_pointer
aca_36,18,16,16,15,3,1,0,False,"(ZZyXyy, ZYXY, ZXXYx)",theorem_backed_stable_composite,observed_remainder.json#/rows/35/best_witness
aca_37,19,19,17,17,3,0,0,False,"(ZYY, XXXYxxz, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/37
aca_38,19,19,17,17,3,0,0,False,"(ZYY, XXXyxxz, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/38
aca_39,19,19,18,18,3,0,0,False,"(ZYY, XXXYxYxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/39
aca_40,19,19,18,18,3,0,0,False,"(ZYY, XXXyxYxY, XYzzxZZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/40
aca_41,19,19,18,18,3,0,0,False,"(ZYY, XYxxxYXy, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/41
aca_42,19,19,18,18,3,0,0,False,"(ZYY, XXXyxYxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/42
aca_43,19,18,17,17,3,0,0,False,"(ZXy, XzxxYY, XYZyXZyz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/43
aca_44,19,18,17,17,3,0,0,False,"(ZXy, XXYZYY, XZxYzxYz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/44
aca_45,19,19,17,17,3,0,0,False,"(ZXXy, XZxYz, XXXZYYYY)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/45
aca_46,19,19,18,18,3,0,0,False,"(ZYY, XXYxxyxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/46
aca_47,19,19,18,18,3,0,0,False,"(ZYY, XXYxxyXY, XYzzxZZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/47
aca_48,19,19,17,17,3,0,0,False,"(ZXXy, XzxZY, YYYYzxxx)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/48
aca_49,19,19,18,18,3,0,0,False,"(ZYY, XXYxxyxY, XYzzxZZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/49
aca_50,19,19,18,18,3,0,0,False,"(ZYY, XXYxxyXY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/50
aca_51,19,19,18,18,3,0,0,False,"(ZYY, XXYxYxxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/51
aca_52,19,19,18,18,3,0,0,False,"(ZYY, XXyXyxxY, XZZxYzz)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/52
aca_53,18,18,17,17,3,0,0,False,"(ZXy, XzxZY, YYzyzxyxx)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/53
aca_54,19,19,16,16,3,0,0,False,"(Zxx, YYZZyz, YYzyXZZ)",theorem_backed_stable_prefix,../theory_patterns_20260912/u124_final_table.json#/rows/54
