name,r1,r2,n_members,members,failed_arms,n_failed_arms,in_complete_10k,missing_arms_10k,baseline_solved,baseline_nodes,baseline_minL,s20_mk2_solved,s20_mk2_nodes,s20_mk2_minL,s20_mk2_mK2_solved,s20_mk2_mK2_nodes,s20_mk2_mK2_minL,s20_f4_solved,s20_f4_nodes,s20_f4_minL
ac19_20724,YXyXXXyX,YYXXXyxyxYXyxYxyX,1,27886,baseline,1,true,,false,10000,19,true,619,2,true,1425,2,true,8227,2
ac19_20744,YYXXXyx,YXyxxYXyxxYXXyx,2,27917 75468,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,19,false,10000,19,false,10000,19
ac19_20771,YXyXXyx,YYXYXyxyxxxYXXyyx,1,27964,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,17,false,10000,17,false,10000,17,false,10000,17
ac19_20832,YXXYx,YYYXYYXXyxyyyx,1,28062,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,18,true,6949,2,false,10000,18,false,10000,18
ac19_20957,YXYXXXX,YYYXyyxyyxx,1,28254,s20_mk2_mK2,1,true,,true,4398,2,true,556,2,false,10000,15,true,36,2
ac19_21067,YXXyXyx,YYXYxxYxyyx,1,28428,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,14,true,3239,2,false,10000,14,false,10000,14
ac19_21092,YYXXX,YYXYXyXyXYxYX,3,28469 44456 63689,s20_mk2_mK2,1,true,,true,9737,2,true,331,2,false,10000,15,true,212,2
ac19_21102,YXXyXyx,YYYYxxyXyxyX,1,28486,s20_f4,1,true,,true,665,2,true,1501,2,true,1346,2,false,10000,14
ac19_21315,YYXXXyx,YYXXyyxyxx,1,28848,s20_f4,1,true,,true,1972,2,true,1585,2,true,1914,2,false,10000,14
ac19_21522,YXXXXXyXYx,YXXXyxYXXXX,4,29169 99394 110816 128656,"baseline,s20_f4",2,true,,false,10000,16,true,1802,2,true,3605,2,false,10000,14
ac19_21595,YXYxyx,YYXXyxYxxYxYYxx,1,29302,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,19,false,10000,19,false,10000,19
ac19_21703,YXYXXYxyX,YYYXyxYXyXyx,1,29480,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,18,false,10000,18,false,10000,18,false,10000,18
ac19_21705,YXyXXyx,YYXyxxyXyxxYX,1,29482,baseline,1,true,,false,10000,16,true,9499,2,true,9200,2,true,6871,2
ac19_21761,YXXYx,YYXYxyyXYYxyyX,6,29571 56012 71550 78607 118636 126645,"baseline,s20_f4",2,true,,false,10000,18,true,597,2,true,4527,2,false,10000,18
ac19_21855,YXXXyxYx,YXYXyXYxYXX,16,29711 29942 30835 35909 36894 40522 40870 47589 99951 103327 116149 119581 122074 124806 153791 155987,baseline,1,false,s20_f4,false,10000,15,true,1039,2,true,2820,2,missing,,
ac19_21856,YXXyXyx,YYYxyXyxxyX,2,29712 36972,s20_f4,1,true,,true,1966,2,true,1584,2,true,2033,2,false,10000,14
ac19_21907,YXXyXyx,YYXyxYXyxx,3,29800 118104 122709,"baseline,s20_mk2_mK2,s20_f4",3,true,,false,10000,14,true,3169,2,false,10000,14,false,10000,14
ac19_21915,YXyXXyx,YYxYxxxYXYXyxyxyx,1,29819,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,18,false,10000,17,false,10000,16,false,10000,16
ac19_21979,YXYXXXX,YYYXYXXyXyyx,1,29923,s20_mk2_mK2,1,true,,true,3662,2,true,554,2,false,10000,15,true,48,2
ac19_22010,YXYXXXX,YYYXyXXXXyxx,2,29969 113266,s20_mk2_mK2,1,true,,true,4396,2,true,555,2,false,10000,15,true,49,2
ac19_2205,YYXXXXXXyX,YXXXXyxxxxx,26,2830 10377 11915 14562 18181 34361 34653 35187 36417 57771 59143 67005 72938 81008 81600 89355 89885 90373 118030 120084 133521 133603 136263 142228 150323 153727,s20_f4,1,false,s20_mk2,true,4361,2,missing,,,true,344,2,false,10000,14
ac19_22052,YXyXYxx,YYXXyyxyxYx,1,30030,baseline,1,true,,false,10000,12,true,1036,2,true,2120,2,true,1239,2
ac19_22112,YXXYxxyX,YXyxYxYXXyx,2,30126 57507,s20_f4,1,true,,true,1956,2,true,1570,2,true,2040,2,false,10000,14
ac19_22144,YXyXXXyx,YYXyyxxYxyxYx,1,30190,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",4,true,,false,10000,19,false,10000,17,false,10000,17,false,10000,17
ac19_22349,YXyXXyx,YYYXyxxyxYxxx,1,30515,baseline,1,true,,false,10000,16,true,9499,2,true,9200,2,true,6888,2
ac19_22389,YXXXyXYx,YYXXyXYXX,3,30580 80753 98244,"baseline,s20_f4",2,true,,false,10000,15,true,2274,2,true,6412,2,false,10000,15
ac19_22400,YXXXyXyx,YYYxxxxyx,1,30596,"baseline,s20_mk2_mK2",2,true,,false,10000,17,true,2684,2,false,10000,17,true,2840,2
ac19_22476,YXyXXXyX,YYYxyXXXyyx,1,30720,"s20_mk2_mK2,s20_f4",2,false,baseline,missing,,,true,2912,2,false,10000,17,false,10000,17
ac19_22520,YXYxxyXyx,YYXyxxYXyx,1,30790,baseline,1,true,,false,10000,15,true,1725,2,true,3967,2,true,4453,2
ac19_22557,YXXyXyxx,YYYxxxYYxxx,3,30853 46843 147938,s20_f4,1,true,,true,230,2,true,2728,2,true,2672,2,false,10000,19
ac19_22598,YXYxxYXyx,YYYxxYXYxyXYx,1,30911,"s20_mk2_mK2,s20_f4",2,true,,true,4699,2,true,4075,2,false,10000,18,false,10000,18
ac19_22628,YYXXXXyxxx,YYXXXXXYYxxYX,1,30965,"baseline,s20_f4",2,true,,false,10000,15,true,8028,2,true,1438,2,false,10000,15
ac19_22677,YXXYXXyx,YYxxyXYXyXX,3,31052 98412 107719,baseline,1,true,,false,10000,17,true,933,2,true,1964,2,true,4235,2
ac19_22704,YYXXYx,YYXYxyXyxYXyx,1,31095,baseline,1,true,,false,10000,15,true,730,2,true,2546,2,true,2687,2
ac19_22752,YXYXXYx,YYXyXyXYxx,1,31173,baseline,1,true,,false,10000,15,true,1409,2,true,2579,2,true,2688,2
