pres_id,bin,aut_class,start_length,r1,r2,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,bestcov_z,bestcov_iso_gen,bestcov_iso_index,bestcov_class,bestcov_cap,bestcov_r1,bestcov_r2,bestcov_n_tied_starts,bestcov_prio,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path,hsel_z,hsel_iso_gen,hsel_iso_index,hsel_class,hsel_cap,hsel_r1,hsel_r2,hsel_n_tied_starts,hsel_n_candidates,hsel_prio,same_as_bestcov,hsel_covgreedy_solved,hsel_covgreedy_nodes,hsel_covgreedy_path,hsel_covheur_solved,hsel_covheur_nodes,hsel_covheur_path
589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,true,558,46,true,575,38,xyyyyyy,x,0,relabel,29,XXXYxxxxYXy,YXXXXXyxxxxxx,3,66.28233333333333,true,13,12,true,15,12,xyyyXy,x,1,,29,XXXXXyxxxxxYX,YYxxxyx,8,113,55.1745,false,true,191,23,true,484,34
596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,false,1000,,false,1000,,xYXy,x,1,relabel,33,XXXXXXXXYxxxxxxyx,YxyXY,2,57.32413636363636,false,1000,,false,1000,,yXYx,x,1,,31,XXXXXXXyxxxxxxY,YxyXY,2,138,55.1745,false,false,1000,,false,1000,
602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,false,1000,,true,824,52,YYxyyyyyyy,x,0,relabel,35,XXXXXXXyXYxxxxYxxxx,YXXXXXXyxxxxxxx,7,76.68576470588235,true,37,22,true,29,20,yyyyXYYY,x,0,,31,YXyyXXX,YxxxxxxxyXXXXXX,3,134,57.32413636363636,false,false,1000,,true,825,52
605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,false,1000,,false,1000,,YYYxyyyyyyy,x,0,relabel,31,XXXYxyXYxxx,YXXXXXXyxxxxxxx,9,68.38784615384616,false,1000,,false,1000,,XYxy,x,1,,31,XXXXXXyxxxxxxYX,YxyXY,4,142,55.1745,false,false,1000,,false,1000,
606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,false,1000,,true,829,45,Xyyyyy,x,0,relabel,32,XXXXYxxxxxxYXXyx,YXXXXXXXyxxxxxx,3,73.59206451612903,true,17,14,true,136,22,yyyyXYYY,x,0,,31,YYXXyXXX,YxxxxxxxyXXXXXX,3,138,58.38919565217391,false,false,1000,,true,825,44
609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,false,1000,,true,821,45,Xyyy,x,0,moved,31,YXXXXYxyxxx,YXXXXXXXyxxxxxx,8,68.38784615384616,true,37,22,true,29,20,yXYYYx,x,1,,31,XXXXXXXyxxxxxxY,YxyXXXY,6,140,57.32413636363636,false,true,403,40,true,434,42
610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,false,1000,,false,1000,,XYxy,x,1,relabel,31,XXXXXXXYxxxxxxy,YYXyx,2,55.1745,false,1000,,false,1000,,XYxy,x,1,relabel,31,XXXXXXXYxxxxxxy,YYXyx,2,141,55.1745,true,false,1000,,false,1000,
622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,false,1000,,false,1000,,xyX,x,1,relabel,37,XXXXXXXXXXyxxxxxxxYxx,YxYxyX,1,69.43474074074074,false,1000,,false,1000,,yXYx,x,1,,33,XXXXXXXXyxxxxxxxY,YxyXY,2,169,57.32413636363636,false,false,1000,,false,1000,
623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,false,1000,,false,1000,,yx,x,1,moved,33,XXXXXXXyxYxxxxxxy,YxyXYX,1,67.4664347826087,false,1000,,false,1000,,XYxy,x,1,,33,XXXXXXXyxxxxxxxYX,YxyXY,4,169,57.32413636363636,false,false,1000,,false,1000,
624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,false,1000,,false,1000,,Xy,x,1,moved,35,XXXXXXXXyxxxxxxYxyx,YXYXyx,1,69.60384,false,1000,,false,1000,,XYxy,x,1,,33,XXXXXXXXYxxxxxxxy,YYXyx,2,169,57.32413636363636,false,false,1000,,false,1000,
625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,false,1000,,false,1000,,xyyyy,x,0,relabel,34,XXXXXXYXyxYxxxxxxx,YXXXXXXXyxxxxxxxx,1,77.71342857142857,false,1000,,false,1000,,XYxy,x,1,,33,XXXXXXXXYxxxxxxxy,YYXyx,4,169,57.32413636363636,false,false,1000,,false,1000,
628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,false,1000,,true,106,36,YYYYYYYxyyyyyyy,y,0,relabel,46,XyXyXYYxYxx,YXyXyXyXyXyXyXyxYxYxYxYxYxYxYx,3,194.32345057766366,true,158,51,true,58,40,yxYYXy,x,1,,33,XXXXXXXXYxxxxxxxy,YxxyXXY,5,173,59.44883333333333,false,true,396,49,true,61,32
632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,false,1000,,true,831,57,YYxyyyyyyyy,x,0,relabel,33,XXXXYxxxxxYXy,YXXXXXXXyxxxxxxxx,7,72.55666666666667,true,39,22,true,31,20,yyyyXYYY,x,0,,33,yyXYXXXX,YxxxxxxxxyXXXXXXX,4,169,60.5037,false,false,1000,,true,824,57
633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,false,1000,,true,107,36,XYYxyy,y,1,relabel,46,xYxYxYxYxYxYxYxYXyXyXyXyXyXyXy,YYxYxyXyX,4,191.88241025641025,true,158,51,true,58,40,yx,x,1,,30,XXXXXXYYxxxxxy,YxxyyXX,1,173,58.05385714285714,false,true,428,48,true,63,32
