name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55866,YYXXYxYXXYx,YYYYXXYxYXYYX,1,104450,11,2
ac19_55868,YYXyxYXXyx,YYXyXyxxYYXyx,2,104454 124639,196,2
ac19_55869,YYXXYx,YXyxxxyXXyx,2,104456 137599,138,2
ac19_55874,YYYXXXYxx,YYYXXXYxYx,1,104466,8,2
ac19_55875,YYXXYYx,YYYYxYXXXyyx,1,104472,14,2
ac19_55877,YYXXYYx,YYXXXYxYXYxx,1,104475,50,2
ac19_55878,YXXYxxyx,YYYxYXYxxyx,1,104480,29,2
ac19_55879,YYXXX,YYYXyyXYYxxyyX,1,104481,8,2
ac19_55882,YYXXYx,YYYYXXXYxxxyX,1,104487,21,2
ac19_55883,YXYXYx,YYXyyXyyXyxYYxyxx,1,104489,62,2
ac19_55885,YXYxyx,YYXYxyxYxxxYx,1,104491,47,2
ac19_55886,YYXXXYX,YYXyyxyXyxYx,1,104492,21,2
ac19_55887,YYXXyx,YYXXXYXXyyxxx,1,104493,18,2
ac19_55888,YXYXyx,YYXXXYYxxYXyX,1,104496,78,2
ac19_55889,YYXXXyx,YYXXyxYXyyx,1,104497,16,2
ac19_55891,YXYXyx,YYXyyXYxYxYXyXX,1,104505,58,2
ac19_55896,YXX,YYYYXyyxyXyXYx,1,104519,10,2
ac19_55898,YYXXXXyx,YYXXXyyXYxx,1,104544,10,2
ac19_55899,YXXX,YYYXYYXyyyXyX,1,104547,22,2
ac19_55901,YYXXYXyXX,YYXXYXyXyx,1,104550,7,2
ac19_55903,YYXyXyxxx,YYXyxYXyx,3,104555 110640 124223,34,2
ac19_55904,YXyXXyx,YYYxxyXYxyyx,1,104560,33,2
ac19_55905,YXXYxxyX,YYxyxYXXyyX,1,104571,14,2
ac19_55906,YXYXyx,YYxyXXyXYYxyx,2,104573 148645,68,2
ac19_55908,YXYXX,YYXXyyXXyxxxxx,1,104577,17,2
ac19_55909,YYXXXyx,YYYxyXyxxyyX,1,104578,156,2
ac19_55910,YYXXyx,YYXXyyXXXYxxx,1,104582,9,2
ac19_55911,YYYXXXyyX,YXXXYXXXX,2,104585 155909,15,2
ac19_55912,YXXX,YYYYXYXXYXyyyyX,1,104586,15,2
ac19_55913,YXXyXyx,YYYXYxxyxxxx,1,104590,77,2
ac19_55915,YXXYx,YYYXXyXYYXXYxx,1,104598,11,2
