order,pres_id,name,bin,start_length,arm,arm_label,config,budget,mrl,solved,nodes_explored,path_length,derived,source,source_budget,in_all_three_solved
41,575,ms575,6,21,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,True,900,100,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
42,568,ms568,7,20,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
42,568,ms568,7,20,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
42,568,ms568,7,20,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
43,578,ms578,7,21,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
43,578,ms578,7,21,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
43,578,ms578,7,21,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
44,583,ms583,7,21,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
44,583,ms583,7,21,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
44,583,ms583,7,21,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
45,628,ms628,7,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
45,628,ms628,7,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,True,106,36,True,EXP28_colab_scale.jsonl,100000,False
45,628,ms628,7,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,True,111,36,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
46,633,ms633,7,25,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
46,633,ms633,7,25,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,True,107,36,True,EXP28_colab_scale.jsonl,100000,False
46,633,ms633,7,25,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,True,110,36,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
47,596,ms596,7,22,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
47,596,ms596,7,22,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
47,596,ms596,7,22,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
48,605,ms605,8,23,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
48,605,ms605,8,23,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
48,605,ms605,8,23,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
49,610,ms610,8,23,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
49,610,ms610,8,23,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
49,610,ms610,8,23,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
50,625,ms625,8,24,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
50,625,ms625,8,24,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
50,625,ms625,8,24,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
51,622,ms622,8,24,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
51,622,ms622,8,24,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
51,622,ms622,8,24,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
52,624,ms624,8,24,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
52,624,ms624,8,24,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
52,624,ms624,8,24,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
53,623,ms623,8,24,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
53,623,ms623,8,24,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
53,623,ms623,8,24,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
54,634,ms634,9,23,baseline,Greedy baseline,L,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
54,634,ms634,9,23,recommended,Full RECOMMENDED,L=1; K=2.53; MK=6.418; S=8.458; xyimb=3.292,1000,48,False,1000,,True,EXP28_colab_scale.jsonl,100000,False
54,634,ms634,9,23,lkmk,L + 2.53K + 6.418MK,L=1; K=2.53; MK=6.418,1000,48,False,1000,,False,EXP29_lkmk_bench66_b1000_mrl48.jsonl,1000,False
