name,r1,r2,n_members,members,nodes_explored,min_relator_length
ac19_55564,YXYXyx,YYXyyXXyxyxxx,2,103625 156288,785,2
ac19_55601,YXYXyx,YYXyyXXyyxYxx,2,103723 152525,654,2
ac19_55631,YXyXXXyx,YYXYxyXXyyx,2,103807 115996,729,2
ac19_55642,YYXyxxxyX,YXyXYXyXyX,1,103843,655,2
ac19_56062,YXYXyx,YYXXXXXYxyXYYxx,1,105039,623,2
ac19_56395,YXYXyx,YYYXXXXXXYxxx,1,105986,643,2
ac19_56496,YXYXyx,YYYYYXXYXyXXX,1,106277,797,2
ac19_56764,YXyXXXyX,YYXXyXyxyXX,1,107032,630,2
ac19_56777,YXyXXyx,YYXYxYxyyxx,1,107076,511,2
ac19_56823,YXXXyxx,YYXXyXYxxxxyx,1,107215,639,2
ac19_56852,YXXYx,YYYXYXYYXXyx,3,107284 126373 142294,610,2
ac19_56898,YXXYx,YYXYXXyxxYXyyx,1,107418,586,2
ac19_57008,YYXXXyXYX,YYXyyxYXXX,1,107704,643,2
ac19_57104,YXXXyxx,YYXXyXXXYxyx,1,107943,640,2
ac19_57192,YXXyxYXXyxx,YYXXyxYXyXYXyX,1,108201,545,2
ac19_57295,YXYXyx,YYXXXyxyXXYYxxx,1,108473,591,2
ac19_57541,YXYxxyXyx,YYXYXXyXXXyx,1,109214,631,2
ac19_57543,YXYXyx,YYYxyXYXyyyXyxx,1,109218,731,2
ac19_57619,YXXYx,YYYYXYYxyXyyyXYx,1,109407,607,2
ac19_57702,YXYXyx,YYYXyXyyXyxxx,2,109674 129998,759,2
ac19_57849,YXyXYxx,YYXYxYYXXYx,2,110088 137685,662,2
ac19_57956,YXyXXyX,YYxyXyxYXYXyxyx,1,110395,619,2
ac19_57978,YXYXyx,YYYXXyXXXYxYx,2,110442 122306,871,2
ac19_58022,YXYXyx,YYXYxxyXyXXXYxx,1,110594,732,2
ac19_58142,YXyXXyx,YYXyXyxxyxYYXyx,2,110916 145693,751,2
ac19_58168,YXyXXyx,YYXyxYYxYxxyxyx,2,111011 124198,711,2
ac19_58302,YXYXyx,YYYxyyxyyXyXXYx,1,111379,975,2
ac19_58312,YXyXXyx,YYYXXyyxxx,1,111397,718,2
ac19_58414,YXYXyx,YYXyyXXyXYYxx,2,111652 121550,792,2
ac19_58505,YXyXXyx,YYXXXyyxxxx,2,111906 116397,666,2
ac19_58509,YXXXyxYx,YYxxyXXYX,1,111915,564,2
ac19_58553,YXXXyxYxx,YYYxxxyyXX,1,112050,564,2
ac19_58714,YXXYx,YYYxYXyyXYXyyx,1,112483,621,2
ac19_58845,YXYXyx,YYXyXXyyxyxxx,2,112870 123062,765,2
