name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10308,greedy,1,7,6,10000,48
ac19_10309,greedy,1,94,20,10000,48
ac19_1031,greedy,1,14,12,10000,48
ac19_10310,greedy,1,12,10,10000,48
ac19_10311,greedy,1,6,5,10000,48
ac19_10312,greedy,1,14,11,10000,48
ac19_10313,greedy,1,8,7,10000,48
ac19_10314,greedy,1,842,50,10000,48
ac19_10315,greedy,1,10,9,10000,48
ac19_10316,greedy,1,520,47,10000,48
ac19_10317,greedy,1,6,5,10000,48
ac19_10318,greedy,1,3,2,10000,48
ac19_10319,greedy,1,6,5,10000,48
ac19_1032,greedy,1,5,4,10000,48
ac19_10320,greedy,1,8,7,10000,48
ac19_10321,greedy,1,19,14,10000,48
ac19_10322,greedy,1,33,13,10000,48
ac19_10323,greedy,1,9,8,10000,48
ac19_10324,greedy,1,506,73,10000,48
ac19_10325,greedy,1,12,9,10000,48
ac19_10326,greedy,1,5,4,10000,48
ac19_10327,greedy,1,3456,41,10000,48
ac19_10328,greedy,1,293,26,10000,48
ac19_10329,greedy,1,726,42,10000,48
ac19_1033,greedy,1,9,8,10000,48
ac19_10330,greedy,1,9,8,10000,48
ac19_10331,greedy,1,10,8,10000,48
ac19_10332,greedy,1,5,4,10000,48
ac19_10333,greedy,1,7,6,10000,48
ac19_10334,greedy,1,188,50,10000,48
ac19_10335,greedy,1,5,4,10000,48
ac19_10336,greedy,1,9,7,10000,48
ac19_10337,greedy,1,7,6,10000,48
ac19_10338,greedy,1,4,3,10000,48
ac19_10339,greedy,1,8,7,10000,48
ac19_1034,greedy,1,7,6,10000,48
ac19_10340,greedy,1,55,14,10000,48
ac19_10341,greedy,1,203,24,10000,48
ac19_10342,greedy,1,5,4,10000,48
ac19_10343,greedy,1,6,5,10000,48
ac19_10344,greedy,1,7,6,10000,48
ac19_10345,greedy,1,11,10,10000,48
ac19_10346,greedy,1,298,69,10000,48
ac19_10347,greedy,1,36,24,10000,48
ac19_10348,greedy,1,246,14,10000,48
ac19_10349,greedy,1,7,6,10000,48
ac19_1035,greedy,1,9,8,10000,48
ac19_10350,greedy,1,12,11,10000,48
ac19_10351,greedy,1,140,25,10000,48
ac19_10352,greedy,1,1089,79,10000,48
ac19_10353,greedy,1,6,5,10000,48
