name,kind,mu,short_relator,bin,bin_lo_nodes,bin_hi_nodes,baseline_nodes,baseline_solved,baseline_censored_at_100k,baseline_path,s12_solved,s12_nodes,s12_path,s28_solved,s28_nodes,s28_path,s20_mk2_solved,s20_mk2_nodes,s20_mk2_path,s24_k1_mk2_solved,s24_k1_mk2_nodes,s24_k1_mk2_path,difficulty_rank
orb_0385,moved_cov,19,False,2,34,115,63,True,False,18,True,31,18,True,81,18,True,35,15,True,47,20,207
orb_0137,seed,15,False,2,34,115,65,True,False,20,True,33,20,True,70,18,True,42,18,True,41,24,208
orb_0199,moved_cov,16,False,2,34,115,66,True,False,21,True,39,23,True,69,21,True,46,21,True,42,25,209
orb_0367,moved_cov,18,False,2,34,115,69,True,False,13,True,21,13,True,28,13,True,29,15,True,30,15,210
orb_0180,moved_cov,15,False,2,34,115,72,True,False,17,True,44,18,True,30,17,True,67,22,True,66,22,211
orb_0707,moved_cov,22,False,2,34,115,72,True,False,34,True,44,27,True,59,27,True,59,30,True,39,16,212
orb_0182,moved_cov,15,False,2,34,115,77,True,False,16,True,25,11,True,28,16,True,63,21,True,64,21,213
orb_0428,moved_cov,19,False,2,34,115,77,True,False,19,True,42,19,True,39,18,True,77,23,True,69,23,214
orb_0637,moved_cov,21,False,2,34,115,77,True,False,24,True,56,24,True,52,24,True,21,15,True,25,15,215
orb_0268,moved_cov,17,False,2,34,115,81,True,False,20,True,47,20,True,31,19,True,70,24,True,69,24,216
orb_0712,moved_cov,22,False,2,34,115,81,True,False,27,True,63,29,True,117,31,True,53,24,True,59,23,217
orb_0910,moved_cov,25,False,2,34,115,82,True,False,29,True,150,47,True,268,57,True,35,18,True,36,18,218
orb_0323,moved_cov,18,False,2,34,115,98,True,False,18,True,42,17,True,77,13,True,42,17,True,28,17,219
orb_0167,moved_cov,15,False,2,34,115,100,True,False,19,True,49,20,True,123,24,True,48,20,True,34,20,220
orb_0145,seed,15,False,2,34,115,101,True,False,19,True,48,20,True,90,16,True,47,20,True,33,20,221
orb_0848,moved_cov,24,False,2,34,115,101,True,False,26,True,64,26,True,122,24,True,93,24,True,96,28,222
orb_0324,moved_cov,18,False,2,34,115,102,True,False,20,True,43,19,True,78,15,True,42,19,True,28,19,223
